firstName,total,female,male,prFemale
Ann-Katrin,50,50,0,1.0
Anne-Lie,41,41,0,1.0
Jonne,7,0,7,0.0
Jasmin,13,2,11,0.15384615384615385
Jac,2,0,2,0.0
Owen,4,0,4,0.0
Anas,2,0,2,0.0
Jamila,3,3,0,1.0
Sven-Mikael,34,0,34,0.0
Luzzi,1,1,0,1.0
Kasper,2,0,2,0.0
Stenerik,1,0,1,0.0
Levi,36,0,36,0.0
Veste,3,0,3,0.0
Ximena,2,2,0,1.0
Kassim,2,0,2,0.0
Mads,6,0,6,0.0
Vello,4,0,4,0.0
Christine,89,89,0,1.0
Aisa,1,1,0,1.0
Nadine,29,29,0,1.0
Péteris,5,0,5,0.0
Hadar,6,0,6,0.0
Stig,820,0,820,0.0
Emelie,80,80,0,1.0
Ann-Magreth,1,1,0,1.0
Stavros,5,0,5,0.0
Matilda,72,72,0,1.0
Kjellarne,2,0,2,0.0
Izabella,3,3,0,1.0
Gert-Erik,1,0,1,0.0
Ann-Christine,127,127,0,1.0
Pratima,1,1,0,1.0
Ågot,1,1,0,1.0
Anneli,245,245,0,1.0
Wivi,9,9,0,1.0
Ruschadaporn,5,5,0,1.0
Linnar,1,0,1,0.0
Käthy,5,5,0,1.0
Siv,300,300,0,1.0
Evald,27,0,27,0.0
Terry,2,0,2,0.0
Linn,56,56,0,1.0
Teddy,2,0,2,0.0
Britt-Sofi,8,8,0,1.0
Zuzanne,7,7,0,1.0
Matti,25,0,25,0.0
Mounir,3,0,3,0.0
Mikhael,28,0,28,0.0
Jaroslav,2,0,2,0.0
Anneliese,1,1,0,1.0
Pieter,2,0,2,0.0
Naceur,1,0,1,0.0
Noa,1,0,1,0.0
Ia,30,30,0,1.0
Mahlin,8,8,0,1.0
Emilio,7,0,7,0.0
Talal,2,0,2,0.0
Sedi,1,1,0,1.0
Binella,2,2,0,1.0
Dawan,1,0,1,0.0
Lindor,2,0,2,0.0
Birthe,10,10,0,1.0
Majlise,1,1,0,1.0
Madiorie,1,1,0,1.0
Karl-Ivar,3,0,3,0.0
Christian,471,0,471,0.0
AnneSofie,1,1,0,1.0
Haldo,1,0,1,0.0
Carl-Gustaf,38,0,38,0.0
Ally,5,5,0,1.0
Gordon,8,0,8,0.0
Josephine,9,9,0,1.0
Yilmaz,5,0,5,0.0
Milivoje,1,0,1,0.0
Andy,9,0,9,0.0
Egon,21,0,21,0.0
Helene.,1,1,0,1.0
Gotthard,2,0,2,0.0
Öjvind,1,0,1,0.0
Birk,1,0,1,0.0
Nahom,5,0,5,0.0
Pekka,19,0,19,0.0
Jan-Peter,11,0,11,0.0
Desireé,6,6,0,1.0
Marwin,7,0,7,0.0
Josefina,20,20,0,1.0
Basmal,2,0,2,0.0
Else-Beth,7,7,0,1.0
Geertje,1,1,0,1.0
Mätta,19,19,0,1.0
Eugen,3,0,3,0.0
Ebbe,52,0,52,0.0
Erene,1,1,0,1.0
Kicky,1,1,0,1.0
Thony,2,0,2,0.0
Mita,29,29,0,1.0
Tore,170,0,170,0.0
Herminia,2,2,0,1.0
Layla,4,4,0,1.0
Birol,6,0,6,0.0
Uffe,1,0,1,0.0
Mawahib,1,1,0,1.0
Nicklas,114,0,114,0.0
Jirina,8,8,0,1.0
Seibert,2,0,2,0.0
Azita,9,9,0,1.0
Geneviéve,2,2,0,1.0
Anibal,8,0,8,0.0
Kenan,3,0,3,0.0
Hampe,2,0,2,0.0
Kjerstin,4,4,0,1.0
Arentz,1,0,1,0.0
Vivi-Anne,7,7,0,1.0
Klas-Åke,1,0,1,0.0
Mishginna,2,0,2,0.0
Aage,31,0,31,0.0
Lorenz,1,0,1,0.0
Svetlana,16,16,0,1.0
Ana,29,29,0,1.0
AnnChristine,1,1,0,1.0
Nawal,13,13,0,1.0
Ferid,9,0,9,0.0
Florence,8,8,0,1.0
Marie-Anne,9,9,0,1.0
Yrsa,15,15,0,1.0
Herbert,10,0,10,0.0
S-O,2,0,2,0.0
Mieczyslaw,1,0,1,0.0
Andras,1,0,1,0.0
Anna-Nora,9,9,0,1.0
Roberto,7,0,7,0.0
Gian-Claudio,1,0,1,0.0
Tobias,457,0,457,0.0
Charles,11,0,11,0.0
Malou,8,8,0,1.0
Mande,2,0,2,0.0
Sedat,5,0,5,0.0
Sverre,33,0,33,0.0
Alexandros,12,0,12,0.0
Jennica,6,6,0,1.0
Ulf-Göran,3,0,3,0.0
Madelaine,18,18,0,1.0
Brittis,3,3,0,1.0
Olov,72,0,72,0.0
Göder,1,0,1,0.0
Ella,41,41,0,1.0
Mona-Lisa,21,21,0,1.0
Margarete,2,2,0,1.0
Anne-Lis,2,2,0,1.0
Karina,34,34,0,1.0
Flint,6,6,0,1.0
Marjoriel,1,1,0,1.0
Ewe,8,0,8,0.0
Thom,16,0,16,0.0
Jadwiga,1,1,0,1.0
Mirsad,8,0,8,0.0
Tim,24,1,23,0.041666666666666664
Ann-Gerd,2,2,0,1.0
Awaz,15,7,8,0.4666666666666667
Ratana,3,3,0,1.0
Sven-Bertil,8,0,8,0.0
Helge,34,0,34,0.0
Abdullah,1,0,1,0.0
Lars-Gunnar,120,0,120,0.0
Eleanore,2,2,0,1.0
Luis,76,0,76,0.0
Wailet,8,8,0,1.0
Mona-Lis,2,2,0,1.0
Anna-Kerstin,10,10,0,1.0
Ingwer,4,0,4,0.0
Styrbjörn,9,0,9,0.0
Katina,6,6,0,1.0
Clair,2,2,0,1.0
Orit,9,9,0,1.0
Heiti,9,0,9,0.0
Irené,1,1,0,1.0
Danne,29,0,29,0.0
Darko,4,0,4,0.0
Aghbal,2,0,2,0.0
Nurten,2,2,0,1.0
Alexandre,1,0,1,0.0
Chatrine,14,14,0,1.0
Isac,7,0,7,0.0
Majlis,7,7,0,1.0
Cia,27,27,0,1.0
Heinz,38,0,38,0.0
Ann-Chatrine,11,11,0,1.0
Lorentz,8,0,8,0.0
Mahira,1,1,0,1.0
Asta,23,23,0,1.0
Pinar,9,9,0,1.0
Anton,124,0,124,0.0
