firstName,total,female,male
LETÍCIO,1,0,1
NEUZENIR,4,3,1
JISLANE,1,1,0
LOURISMAR,14,3,11
ORNANDIVIO,2,0,2
NAUDETE,2,2,0
ARISIO,8,0,8
URATAÚ,1,0,1
ZÊNIA,2,2,0
CERISVALDO,1,0,1
MÍLVIO,1,0,1
NÚCIA,2,1,0
NEUSIVÂNIA,1,1,0
ARNAELE,2,0,2
BENEVAL,17,0,17
EVANDUIR,1,0,1
IVANETE,346,328,6
ADEMICIO,4,0,4
ELINA,26,23,0
NURCIOMAR,1,0,1
UEUBER,1,0,1
INOCENCIA,7,6,1
ESTEVINO,1,0,1
ILDEUBERTO,3,0,3
OLINDINA,25,24,1
EDINÉSIO,1,0,1
DENNYS,14,0,12
VALNEY,24,0,22
JUNIA,50,43,0
DEURLENE,1,1,0
ELIAKIN,1,0,1
RAUILDO,1,0,1
ARTICLÍNIO,1,0,1
ILIDIA,11,11,0
EDEN,56,1,51
WARMAN,1,1,0
ROZENIL,2,2,0
OSVANILDO,8,0,7
CHRYS,1,1,0
BAIARDO,3,0,0
HELOISON,1,0,1
IDIL,2,0,2
ENIVANE,1,0,1
GILVOBERTO,1,0,1
ÉLBER,1,0,0
CEZINANDO,2,0,1
CLETON,2,0,2
HEBERTH,3,0,3
ONISIO,4,0,4
IRLAINE,1,1,0
RUTENIS,1,1,0
SVEA,1,1,0
RUBENIL,7,0,7
JUDÁZIO,1,0,1
LINDIVALSON,1,0,1
AGUIVALDO,1,0,1
JEOVAINE,1,0,1
GELÇO,9,0,9
ADERONI,1,0,1
VALNÉZIA,1,1,0
EDNE,9,6,1
MATSJAMBY,1,0,1
TEOLIDES,1,1,0
ELIENAS,4,4,0
DERIOLANDO,1,0,1
JACILDO,10,0,10
EDINILSE,2,2,0
LEDIVANIA,1,1,0
OSANIAS,3,0,3
DORINICE,1,1,0
ISMÁ,1,0,1
LOUSIVONE,1,0,1
ILDICLEI,1,0,1
VALGARINA,1,1,0
SOLEDAD,2,2,0
VASCONDE,4,0,4
VERAÍDES,1,1,0
AURINEIDE,16,14,2
ERTENEIDA,1,1,0
CLAIDU,1,0,1
GILVANISA,2,2,0
MARIANGELA,108,99,0
RIVALDÁVIO,3,0,3
ARIONAN,1,0,1
OYLAS,1,0,0
IONAN,1,0,1
SUÉLIDA,1,1,0
REINIVAL,5,0,5
JENILDA,4,4,0
EDENEY,1,0,1
LEUJANE,2,2,0
ADAONELI,1,0,1
SALVIA,4,4,0
VALDELICY,1,1,0
IRONILDES,1,0,1
GIDIVAN,2,0,2
GENILVAN,1,0,1
ROMILCE,1,1,0
WALMA,2,2,0
DAVES,6,0,5
BELAGIA,2,2,0
ELOISIA,4,4,0
GUDEMBERG,1,0,1
OSVAUIR,1,0,1
WANER,15,0,14
CEDRONIL,1,0,1
ANACLAN,2,2,0
RONNKY,1,0,0
ADEUSMAR,2,0,2
HERRISON,1,0,1
DAFLAS,1,0,1
LAIDA,1,1,0
LUZIMAR,174,64,106
THATYARA,1,1,0
ORDÉCIO,1,0,1
WALDIMIR,7,0,7
CLERONILSON,1,0,1
FRANCINEUDO,12,0,10
LAETSON,2,0,2
ADORILDO,1,0,1
GARCIAS,3,0,3
MENDELSCHON,1,0,1
IRISLEIA,1,1,0
GLESIO,1,0,1
JOBELITO,3,0,3
ADUILO,3,0,3
JUAREIS,10,0,10
ÍNDIRA,2,2,0
LELCES,1,0,0
ROJIANIR,1,1,0
GERMETILDE,1,0,1
MARIZILDA,15,15,0
ALDINEIS,1,1,0
RILTON,28,0,28
SAMI,12,0,10
SENISVALDO,1,0,1
JARDELSON,4,0,4
EDJÚNIOR,1,0,1
DAWS,1,0,1
MARCORELI,1,0,1
CLEANTO,7,0,7
GERSINO,21,0,21
MAQUILES,2,0,2
WILLIAN,506,2,473
REGINEL,2,0,2
GENICELMA,2,2,0
OTAILSON,1,0,1
ARTHUR,347,0,292
DISCIRLENE,2,2,0
ODALGIR,1,0,1
ACIOLI,5,3,2
TIJOI,2,0,1
NILCEU,22,0,22
OGEL,2,0,2
MOÉS,1,0,1
EIRONE,1,0,1
MATHUZALÉM,1,0,1
KRISTINE,1,1,0
SILOMÁ,1,0,1
RUBELI,1,0,1
NOLVINA,1,1,0
LERINHO,1,0,1
JILDACI,1,1,0
SETIMO,8,0,5
NEDES,1,0,1
ALFREDO,1322,1,1209
VACILY,1,0,1
FRANKELINE,1,1,0
JOSENILDO,393,0,367
BARJONAS,3,0,3
JECIONE,2,0,2
LEDUINO,1,0,1
LUERCIO,1,0,1
MARCIONÍLIA,2,2,0
GUTTO,2,0,2
DAGBERTO,4,0,4
ANÁLIA,26,26,0
ROSERENE,1,1,0
LOUCICLEIA,1,1,0
VENINO,8,0,7
HILDEMAR,43,0,37
HERACLIO,7,0,7
WÉLITA,1,1,0
HERMINIA,31,31,0
IZONETE,5,2,3
MARMUTHE,2,0,2
JOISILENE,1,1,0
RAMONITA,1,1,0
SILDIANO,1,0,1
UIARA,3,3,0
OLICIR,4,0,4
ALDENICIO,9,0,9
IDIOVÁ,2,0,2
JUIRECE,1,0,1
ERAMITA,1,0,1
JAUSILEIA,1,1,0
WELINGTHON,3,0,3
DILVAM,2,0,1
EMILIANA,41,41,0
LINDAURO,13,0,13
SHAUAN,1,0,1
AMAZILDE,1,1,0
TARCILA,10,10,0
ASELIR,1,0,1
ANRIETE,1,1,0
